code_standard_name,code,description
ICD-10,I25.728,Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angi
ICD-10,T46.3X5A,"Adverse effect of coronary vasodilators, initial encounter"
ICD-10,I25.710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
ICD-10,I25.41,Coronary artery aneurysm
ICD-10,I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
ICD9,972.4,Pois-coronary vasodilat
ICD9,746.85,Coronary artery anomaly
ICD-10,I25.42,Coronary artery dissection
ICD-10,I25.811,Atherosclerosis of native coronary artery of transplanted heart without angina pectoris
ICD-10,I21.09,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
ICD9,411.1,Intermed coronary synd
ICD-10,I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
ICD-10,I25.709,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pect"
ICD-10,Z98.61,Coronary angioplasty status
ICD-10,I25.750,Atherosclerosis of native coronary artery of transplanted heart with unstable angina
ICD-10,I25.118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris
ICD9,E942.4,Adv eff coronary vasodil
ICD-10,I25.82,Chronic total occlusion of coronary artery
ICD-10,I25.710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pecto
ICD-10,I25.718,Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina
ICD-10,I25.700,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris"
ICD-10,I25.720,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pec
ICD-10,I25.719,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pe
ICD9,V45.81,Aortocoronary bypass
ICD-10,I25.110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
ICD-10,Z95.1,Presence of aortocoronary bypass graft
ICD-10,I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
ICD-10,I24.0,Acute coronary thrombosis not resulting in myocardial infarction
ICD-10,I25.84,Coronary atherosclerosis due to calcified coronary lesion
ICD-10,I25.111,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented
ICD-10,I25.759,Atherosclerosis of native coronary artery of transplanted heart with unspecified angina pecto
ICD9,414.11,Aneurysm coronary vessel
ICD9,972.4,Poison-coronary vasodilat
ICD-10,I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery
ICD-10,R93.1,Abnormal findings on diagnostic imaging of heart and coronary circulation
ICD-10,Z95.5,Presence of coronary angioplasty implant and graft
ICD-10,I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris
ICD-10,I21.01,ST elevation (STEMI) myocardial infarction involving left main coronary artery
ICD-10,Q24.5,Malformation of coronary vessels
ICD-10,I25.119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
ICD-10,I25.810,Atherosclerosis of coronary artery bypass graft(s) without angina pectoris
