code_standard_name,code,description
ICD-10,I69.244,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
ICD-10,I69.859,Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
ICD-10,I69.352,Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
ICD9,334.1,Hered spastic paraplegia
ICD-10,R53.2,Functional quadriplegia
ICD-10,I69.052,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left domi
ICD-10,G82.20,"Paraplegia, unspecified"
ICD9,344.00,"Quadriplegia, unspecifd"
ICD-10,I69.254,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting lef
ICD-10,G81.04,Flaccid hemiplegia affecting left nondominant side
ICD-10,I69.251,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
ICD-10,G83.11,Monoplegia of lower limb affecting right dominant side
ICD-10,G82.22,"Paraplegia, incomplete"
ICD9,094.1,General paresis
ICD-10,G81.94,"Hemiplegia, unspecified affecting left nondominant side"
ICD9,780.72,Functional quadriplegia
ICD-10,I69.954,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
ICD-10,G81.93,"Hemiplegia, unspecified affecting right nondominant side"
ICD-10,A52.17,General paresis
ICD9,344.2,Diplegia of upper limbs
ICD-10,I69.954,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-d
ICD-10,I69.051,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dom
ICD-10,I69.951,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
ICD-10,G81.90,"Hemiplegia, unspecified affecting unspecified side"
ICD9,343.2,Congenital quadriplegia
ICD-10,I69.854,Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominan
ICD-10,I69.254,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
ICD-10,I69.251,Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting rig
ICD9,343.4,Infantile hemiplegia
ICD-10,I69.359,Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
ICD9,344.09,Other quadriplegia
ICD-10,H51.21,"Internuclear ophthalmoplegia, right eye"
ICD-10,I69.351,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
ICD-10,G82.52,"Quadriplegia, C1-C4 incomplete"
ICD9,344.5,Monoplegia NOS
ICD-10,G82.50,"Quadriplegia, unspecified"
ICD-10,I69.151,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right do
ICD9,343.3,Congenital monoplegia
ICD-10,G82.51,"Quadriplegia, C1-C4 complete"
ICD9,378.55,External ophthalmoplegia
ICD-10,G11.4,Hereditary spastic paraplegia
ICD-10,G81.91,"Hemiplegia, unspecified affecting right dominant side"
ICD-10,G81.01,Flaccid hemiplegia affecting right dominant side
ICD-10,I69.951,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right domi
ICD-10,G82.21,"Paraplegia, complete"
ICD-10,I69.959,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecifie
ICD-10,I69.831,Monoplegia of upper limb following other cerebrovascular disease affecting right dominant sid
ICD-10,G82.54,"Quadriplegia, C5-C7 incomplete"
ICD-10,G81.92,"Hemiplegia, unspecified affecting left dominant side"
ICD9,344.1,Paraplegia NOS
ICD9,343.0,Congenital diplegia
ICD-10,I69.959,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
ICD-10,I69.344,Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
ICD9,343.1,Congenital hemiplegia
ICD-10,G81.02,Flaccid hemiplegia affecting left dominant side
ICD-10,I69.851,Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant s
ICD-10,I69.354,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
ICD-10,I69.154,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non
ICD-10,I69.054,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-
